"","ID","Sentinel_rand_firefreq","QPWS_rand_firefreq","Lon","Lat","TWI","tempseason","precipseason","diurnal_temp","solar_radiation","FPC","soil_clay","slope","aspect","topo_position","elevation"
"1",1,0,3,2033965.5,-3135967.5,6.14257717132568,382.053863525391,47.3502769470215,10.3666667938232,18.3773536682129,60,30.481481552124,17.8551959991455,134.975448608398,4,157.557922363281
"2",2,4,4,2018155.5,-3046202.5,4.52587366104126,391.300018310547,44.2894439697266,10.2083339691162,18.1734447479248,62.25,28.6666660308838,15.5092868804932,223.024490356445,4,463.340850830078
"3",3,2,6,2019160.5,-3076922.5,6.66002750396729,398.809783935547,47.9815139770508,9.96666717529297,18.2589950561523,60,29.2222213745117,32.3956718444824,258.043060302734,4,473.836151123047
"4",4,2,4,1970965.5,-3217032.5,6.56351518630981,413.1943359375,42.0412292480469,8.83333301544189,18.0050086975098,53.5,28.6666679382324,14.3557615280151,16.5060386657715,4,890.519714355469
"5",5,1,3,2020925.5,-3119832.5,6.3367280960083,382.743286132812,51.6332855224609,9.58333301544189,18.2668952941895,58,28.7777786254883,27.3465595245361,83.2160339355469,4,339.627349853516
"6",6,1,2,2070820.5,-2989597.5,12.8641653060913,372.103729248047,46.9277267456055,9.99166679382324,18.3428535461426,45,9.16666698455811,1.96287429332733,16.7364692687988,1,9.39133644104004
"7",7,1,4,2066885.5,-3003122.5,7.03353643417358,375.405578613281,39.5359001159668,10.0083332061768,18.3247966766357,58.5,18.1851844787598,6.92160749435425,98.3093490600586,4,25.0893650054932
"8",8,1,3,1997185.5,-2964132.5,5.17906951904297,394.556457519531,47.3217620849609,11.1750001907349,18.488862991333,62,25.1666660308838,37.8711738586426,132.226425170898,4,286.129730224609
"9",9,0,1,1995055.5,-3234647.5,5.27939987182617,392.529449462891,45.7651901245117,8.25833320617676,17.8583507537842,54,23.2222213745117,28.7223052978516,26.5768966674805,4,786.098327636719
"10",10,3,5,1996735.5,-3228932.5,6.51629114151001,391.764404296875,48.5078201293945,9.97500038146973,17.9867610931396,50.75,22.3888893127441,14.3810319900513,36.0041999816895,4,493.966705322266
